PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s)
40054034,"Pluripotent stem cell-derived mesenchymal stem cells for therapeutic applications, developmental study, and cancer research.",2025,,
40054027,Core elements and principles of nutrition models of care for people with cancer: A scoping review.,2025,,
40054009,The Effect of X-ray Dose Photon-Counting Detector Computed Tomography on Nodule Properties in a Lung Cancer Screening Cohort: A Prospective Study.,2025,,
40053904,System and Technology of Breast Intervention Robot: A Review.,2025,,
40053902,Prospective Evaluation of the Pathologic Diagnosis and Treatment Outcomes of Pediatric Burkitt Lymphoma in the Central American Pediatric Hematology-Oncology Association Consortium.,2025,Conter Valentino,"Pediatric Hemato-Oncology, Fondazione Tettamanti, IRCCS San Gerardo, Monza, Italy."
40053901,Germline Genetic Testing in Breast Cancer: Utilization and Disparities in a Middle-Income Country.,2025,"Souza Alessandra Borba Anton de, Barrios Carlos, de Jesus Rafaela Gomes, Reinert Tomas, Giacomazzi Juliana, Rosa Daniela D, Cronemberger Eduardo, Werutsky Gustavo, Bines José, Cordeiro de Lima Vladmir, Emerenciano Karla, Crocamo Susanne, Neron Yeni, Dybal Vanessa, Lazaretti Nicolas Silva, Andrade Diocesio Alves Pinto de, Mathias Clarissa, Borges Giuliano, Morelle Alessandra Menezes, Sampaio Filho Carlos Alberto, Mano Max, Lichtenfels Martina, Simon Sergio D, Fay Andre P","CAPES Research Fellowship, Postgraduate Program, School of Medicine, Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS), Porto Alegre, Brazil., Latin American Cooperative Oncology Group (LACOG), Porto Alegre, Brazil., Latin American Cooperative Oncology Group (LACOG), Porto Alegre, Brazil., Grupo Brasileiro de Estudos em Câncer de Mama (GBECAM), Porto Alegre, Brazil., Latin American Cooperative Oncology Group (LACOG), Porto Alegre, Brazil., Latin American Cooperative Oncology Group (LACOG), Porto Alegre, Brazil., Centro Regional Integrado de Oncologia (CRIO), Fortaleza, Brazil., Latin American Cooperative Oncology Group (LACOG), Porto Alegre, Brazil., Latin American Cooperative Oncology Group (LACOG), Porto Alegre, Brazil., A.C. Camargo Cancer Center, São Paulo, Brazil., Liga Norte Riograndense, Natal, Brazil., Oncoclinicas Rio de Janeiro, Rio de Janeiro, Brazil., Oncology Research Center, Florianopolis, Brazil., Clinic for Multidisciplinary Care in Oncology (Clínica AMO - Assistência Multidisciplinar em Oncologia), Salvador, Brazil., Centro Integrado de Terapia Onco-Hematológica, Passo Fundo, Brazil., Oncoclinicas Group, Porto Alegre, Brazil., Bahia Oncology Nucleus, Lauro de Freitas, Brazil., Clinica de Neoplasia Litoral, Itajaí, Brazil., Oncoclinicas Group, Porto Alegre, Brazil., Clinic for Multidisciplinary Care in Oncology (Clínica AMO - Assistência Multidisciplinar em Oncologia), Salvador, Brazil., Latin American Cooperative Oncology Group (LACOG), Porto Alegre, Brazil., Latin American Cooperative Oncology Group (LACOG), Porto Alegre, Brazil., Grupo Brasileiro de Estudos em Câncer de Mama (GBECAM), Porto Alegre, Brazil., CAPES Research Fellowship, Postgraduate Program, School of Medicine, Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS), Porto Alegre, Brazil."
40053899,Real-World Analysis Evaluating Treatment Eligibility and Outcomes in Patients With AML Receiving Intensive Chemotherapy: Insights From an Underrepresented Population.,2025,Eipe Thomas,"Department of Clinical Pharmacology, Advanced Centre for Treatment, Research and Education in Cancer, Navi Mumbai, India."
40053896,Treatment of Pleural Mesothelioma: ASCO Guideline Clinical Insights.,2025,Ismaila Nofisat,"American Society of Clinical Oncology, Alexandria, VA."
40053891,Maintenance Chemotherapy in Patients With High-Risk Rhabdomyosarcoma: Long-Term Survival Analysis of the European ,2025,"Casanova Michela, Ferrari Andrea, Defachelles Anne-Sophie, Merks Johannes H M, Minard-Colin Véronique","Pediatric Oncology Unit, Fondazione IRCCS Istituto Nazionale Tumori, Milano, Italy., Pediatric Oncology Unit, Fondazione IRCCS Istituto Nazionale Tumori, Milano, Italy., Pediatric and AYA department, Oscar Lambret Center, Lille, France., Princess Máxima Center for Pediatric Oncology, Utrecht, the Netherlands., Pediatric and AYA department, Oscar Lambret Center, Lille, France."
40053865,Identification of Novel Fourth-Generation Allosteric Inhibitors Targeting Inactive State of EGFR T790M/L858R/C797S and T790M/L858R Mutations: A Combined Machine Learning and Molecular Dynamics Approach.,2025,,
